Running agent No. 1 -- Type 0
UT Austin Villa 3D Simulation Team Base Code
connecting to TCP localhost:3100
Loading rsg: (scene rsg/agent/nao/nao_hetero.rsg 0)
Running agent No. 2 -- Type 0
UT Austin Villa 3D Simulation Team Base Code
connecting to TCP localhost:3100
Loading rsg: (scene rsg/agent/nao/nao_hetero.rsg 0)
1.54'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.56'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.58'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.6'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.62'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.64'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.66'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.68'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.7'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.72'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.74'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.76'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.78'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.8'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.82'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.84'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.86'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.88'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.9'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.92'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.94'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.96'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
1.98'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
2'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
2.02'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.04'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.06'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.08'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.1'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.12'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.14'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.16'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.18'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.2'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.22'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.24'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.26'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.28'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.3'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.32'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.34'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.36'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.38'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.4'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.42'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.44'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.46'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.48'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.5'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.52'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.54'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.56'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.58'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.6'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.62'	 X: -0.390519	 Y:0.0716271	 vel:  0.397034	-0.219846
2.64'	 X: -0.390519	 Y:0.0716271	 vel:  0.397034	-0.219846
2.66'	 X: -0.390519	 Y:0.0716271	 vel:  0.397034	-0.219846
2.68'	 X: -0.439632	 Y:-0.2141	 vel:  0.488994	-0.185973
2.7'	 X: -0.439632	 Y:-0.2141	 vel:  0.488994	-0.185973
2.72'	 X: -0.439632	 Y:-0.2141	 vel:  0.488994	-0.185973
2.74'	 X: -0.423669	 Y:-0.190542	 vel:  0.464544	-0.185973
2.76'	 X: -0.423669	 Y:-0.190542	 vel:  0.464544	-0.185973
2.78'	 X: -0.423669	 Y:-0.190542	 vel:  0.464544	-0.185973
2.8'	 X: -0.404228	 Y:-0.177089	 vel:  0.441317	-0.185973
2.82'	 X: -0.404228	 Y:-0.177089	 vel:  0.441317	-0.185973
2.84'	 X: -0.404228	 Y:-0.177089	 vel:  0.441317	-0.185973
2.86'	 X: -0.377622	 Y:-0.182135	 vel:  0.419251	-0.185973
2.88'	 X: -0.377622	 Y:-0.182135	 vel:  0.419251	-0.185973
2.9'	 X: -0.377622	 Y:-0.182135	 vel:  0.419251	-0.185973
2.92'	 X: -0.366126	 Y:-0.156797	 vel:  0.398289	-0.185973
2.94'	 X: -0.366126	 Y:-0.156797	 vel:  0.398289	-0.185973
2.96'	 X: -0.366126	 Y:-0.156797	 vel:  0.398289	-0.185973
2.98'	 X: -0.342137	 Y:-0.161583	 vel:  0.378374	-0.185973
3'	 X: -0.342137	 Y:-0.161583	 vel:  0.378374	-0.185973
3.02'	 X: -0.342137	 Y:-0.161583	 vel:  0.378374	-0.185973
3.04'	 X: -0.324009	 Y:-0.155647	 vel:  0.359455	-0.185973
3.06'	 X: -0.324009	 Y:-0.155647	 vel:  0.359455	-0.185973
3.08'	 X: -0.324009	 Y:-0.155647	 vel:  0.359455	-0.185973
3.1'	 X: -0.312963	 Y:-0.136618	 vel:  0.341483	-0.185973
3.12'	 X: -0.312963	 Y:-0.136618	 vel:  0.341483	-0.185973
3.14'	 X: -0.312963	 Y:-0.136618	 vel:  0.341483	-0.185973
3.16'	 X: -0.292628	 Y:-0.140035	 vel:  0.324408	-0.185973
3.18'	 X: -0.292628	 Y:-0.140035	 vel:  0.324408	-0.185973
3.2'	 X: -0.292628	 Y:-0.140035	 vel:  0.324408	-0.185973
3.22'	 X: -0.282133	 Y:-0.124019	 vel:  0.308188	-0.185973
3.24'	 X: -0.282133	 Y:-0.124019	 vel:  0.308188	-0.185973
3.26'	 X: -0.282133	 Y:-0.124019	 vel:  0.308188	-0.185973
3.28'	 X: -0.269612	 Y:-0.114143	 vel:  0.292779	-0.185973
3.3'	 X: -0.269612	 Y:-0.114143	 vel:  0.292779	-0.185973
3.32'	 X: -0.269612	 Y:-0.114143	 vel:  0.292779	-0.185973
3.34'	 X: -0.251533	 Y:-0.118713	 vel:  0.27814	-0.185973
3.36'	 X: -0.251533	 Y:-0.118713	 vel:  0.27814	-0.185973
3.38'	 X: -0.251533	 Y:-0.118713	 vel:  0.27814	-0.185973
3.4'	 X: -0.244143	 Y:-0.101061	 vel:  0.264233	-0.185973
3.42'	 X: -0.244143	 Y:-0.101061	 vel:  0.264233	-0.185973
3.44'	 X: -0.244143	 Y:-0.101061	 vel:  0.264233	-0.185973
3.46'	 X: -0.228467	 Y:-0.103992	 vel:  0.251021	-0.185973
3.48'	 X: -0.228467	 Y:-0.103992	 vel:  0.251021	-0.185973
3.5'	 X: -0.228467	 Y:-0.103992	 vel:  0.251021	-0.185973
3.52'	 X: -0.215933	 Y:-0.101197	 vel:  0.23847	-0.185973
3.54'	 X: -0.215933	 Y:-0.101197	 vel:  0.23847	-0.185973
3.56'	 X: -0.215933	 Y:-0.101197	 vel:  0.23847	-0.185973
3.58'	 X: -0.209647	 Y:-0.085858	 vel:  0.226547	-0.185973
3.6'	 X: -0.209647	 Y:-0.085858	 vel:  0.226547	-0.185973
3.62'	 X: -0.209647	 Y:-0.085858	 vel:  0.226547	-0.185973
3.64'	 X: -0.196006	 Y:-0.088887	 vel:  0.215219	-0.185973
3.66'	 X: -0.196006	 Y:-0.088887	 vel:  0.215219	-0.185973
3.68'	 X: -0.196006	 Y:-0.088887	 vel:  0.215219	-0.185973
3.7'	 X: -0.189401	 Y:-0.0770098	 vel:  0.204458	-0.185973
3.72'	 X: -0.189401	 Y:-0.0770098	 vel:  0.204458	-0.185973
3.74'	 X: -0.189401	 Y:-0.0770098	 vel:  0.204458	-0.185973
3.76'	 X: -0.180728	 Y:-0.071166	 vel:  0.194235	-0.185973
3.78'	 X: -0.180728	 Y:-0.071166	 vel:  0.194235	-0.185973
3.8'	 X: -0.180728	 Y:-0.071166	 vel:  0.194235	-0.185973
3.82'	 X: -0.303505	 Y:-0.00414931	 vel:  0.303533	-0.229457
3.84'	 X: -0.303505	 Y:-0.00414931	 vel:  0.303533	-0.229457
3.86'	 X: -0.303505	 Y:-0.00414931	 vel:  0.303533	-0.229457
3.88'	 X: -0.240884	 Y:0.360944	 vel:  0.433942	-0.209407
3.9'	 X: -0.240884	 Y:0.360944	 vel:  0.433942	-0.209407
3.92'	 X: -0.240884	 Y:0.360944	 vel:  0.433942	-0.209407
3.94'	 X: -0.303276	 Y:0.168299	 vel:  0.346844	-0.13431
3.96'	 X: -0.303276	 Y:0.168299	 vel:  0.346844	-0.13431
3.98'	 X: -0.303276	 Y:0.168299	 vel:  0.346844	-0.13431
4'	 X: -0.381162	 Y:-0.0679767	 vel:  0.387176	-0.17905
4.02'	 X: -0.381162	 Y:-0.0679767	 vel:  0.387176	-0.17905
4.04'	 X: -0.381162	 Y:-0.0679767	 vel:  0.387176	-0.17905
4.06'	 X: -0.348613	 Y:0.308677	 vel:  0.465631	-0.146986
4.08'	 X: -0.348613	 Y:0.308677	 vel:  0.465631	-0.146986
4.1'	 X: -0.348613	 Y:0.308677	 vel:  0.465631	-0.146986
4.12'	 X: -0.423369	 Y:-0.0560153	 vel:  0.427059	-0.109619
4.14'	 X: -0.423369	 Y:-0.0560153	 vel:  0.427059	-0.109619
4.16'	 X: -0.423369	 Y:-0.0560153	 vel:  0.427059	-0.109619
4.18'	 X: -0.39178	 Y:0.164614	 vel:  0.424958	-0.042038
4.2'	 X: -0.39178	 Y:0.164614	 vel:  0.424958	-0.042038
4.22'	 X: -0.39178	 Y:0.164614	 vel:  0.424958	-0.042038
4.24'	 X: -0.376779	 Y:0.346379	 vel:  0.511802	-0.152268
4.26'	 X: -0.376779	 Y:0.346379	 vel:  0.511802	-0.152268
4.28'	 X: -0.376779	 Y:0.346379	 vel:  0.511802	-0.152268
4.3'	 X: -0.452551	 Y:-0.0101691	 vel:  0.452665	-0.173055
4.32'	 X: -0.452551	 Y:-0.0101691	 vel:  0.452665	-0.173055
4.34'	 X: -0.452551	 Y:-0.0101691	 vel:  0.452665	-0.173055
4.36'	 X: -0.413013	 Y:0.25374	 vel:  0.484731	-0.204963
4.38'	 X: -0.413013	 Y:0.25374	 vel:  0.484731	-0.204963
4.4'	 X: -0.413013	 Y:0.25374	 vel:  0.484731	-0.204963
4.42'	 X: -0.462864	 Y:0.0379454	 vel:  0.464417	-0.171873
4.44'	 X: -0.462864	 Y:0.0379454	 vel:  0.464417	-0.171873
4.46'	 X: -0.462864	 Y:0.0379454	 vel:  0.464417	-0.171873
4.48'	 X: -0.500874	 Y:-0.15463	 vel:  0.524199	-0.217642
4.5'	 X: -0.500874	 Y:-0.15463	 vel:  0.524199	-0.217642
4.52'	 X: -0.500874	 Y:-0.15463	 vel:  0.524199	-0.217642
4.54'	 X: -0.446958	 Y:0.154641	 vel:  0.472954	-0.252024
4.56'	 X: -0.446958	 Y:0.154641	 vel:  0.472954	-0.252024
4.58'	 X: -0.446958	 Y:0.154641	 vel:  0.472954	-0.252024
4.6'	 X: -0.496831	 Y:-0.0946004	 vel:  0.505758	-0.190943
4.62'	 X: -0.496831	 Y:-0.0946004	 vel:  0.505758	-0.190943
4.64'	 X: -0.496831	 Y:-0.0946004	 vel:  0.505758	-0.190943
4.66'	 X: -0.458825	 Y:0.13187	 vel:  0.477399	-0.198931
4.68'	 X: -0.458825	 Y:0.13187	 vel:  0.477399	-0.198931
4.7'	 X: -0.458825	 Y:0.13187	 vel:  0.477399	-0.198931
4.72'	 X: -0.424118	 Y:0.311607	 vel:  0.526284	-0.251883
4.74'	 X: -0.424118	 Y:0.311607	 vel:  0.526284	-0.251883
4.76'	 X: -0.424118	 Y:0.311607	 vel:  0.526284	-0.251883
4.78'	 X: -0.414851	 Y:0.279049	 vel:  0.49997	-0.251883
4.8'	 X: -0.414851	 Y:0.279049	 vel:  0.49997	-0.251883
4.82'	 X: -0.414851	 Y:0.279049	 vel:  0.49997	-0.251883
4.84'	 X: -0.382632	 Y:0.281409	 vel:  0.474971	-0.251883
4.86'	 X: -0.382632	 Y:0.281409	 vel:  0.474971	-0.251883
4.88'	 X: -0.382632	 Y:0.281409	 vel:  0.474971	-0.251883
4.9'	 X: -0.372436	 Y:0.254741	 vel:  0.451223	-0.251883
4.92'	 X: -0.372436	 Y:0.254741	 vel:  0.451223	-0.251883
4.94'	 X: -0.372436	 Y:0.254741	 vel:  0.451223	-0.251883
4.96'	 X: -0.357466	 Y:0.236577	 vel:  0.428662	-0.251883
4.98'	 X: -0.357466	 Y:0.236577	 vel:  0.428662	-0.251883
5'	 X: -0.357466	 Y:0.236577	 vel:  0.428662	-0.251883
5.02'	 X: -0.329459	 Y:0.239356	 vel:  0.407229	-0.251883
5.04'	 X: -0.329459	 Y:0.239356	 vel:  0.407229	-0.251883
5.06'	 X: -0.329459	 Y:0.239356	 vel:  0.407229	-0.251883
5.08'	 X: -0.323826	 Y:0.211667	 vel:  0.386867	-0.251883
5.1'	 X: -0.323826	 Y:0.211667	 vel:  0.386867	-0.251883
5.12'	 X: -0.323826	 Y:0.211667	 vel:  0.386867	-0.251883
5.14'	 X: -0.299082	 Y:0.213597	 vel:  0.367524	-0.251883
5.16'	 X: -0.299082	 Y:0.213597	 vel:  0.367524	-0.251883
5.18'	 X: -0.299082	 Y:0.213597	 vel:  0.367524	-0.251883
5.2'	 X: -0.28182	 Y:0.206111	 vel:  0.349148	-0.251883
5.22'	 X: -0.28182	 Y:0.206111	 vel:  0.349148	-0.251883
5.24'	 X: -0.28182	 Y:0.206111	 vel:  0.349148	-0.251883
5.26'	 X: -0.275092	 Y:0.185319	 vel:  0.33169	-0.251883
5.28'	 X: -0.275092	 Y:0.185319	 vel:  0.33169	-0.251883
5.3'	 X: -0.275092	 Y:0.185319	 vel:  0.33169	-0.251883
5.32'	 X: -0.253517	 Y:0.187138	 vel:  0.315106	-0.251883
5.34'	 X: -0.253517	 Y:0.187138	 vel:  0.315106	-0.251883
5.36'	 X: -0.253517	 Y:0.187138	 vel:  0.315106	-0.251883
5.38'	 X: -0.24666	 Y:0.169616	 vel:  0.29935	-0.251883
5.4'	 X: -0.24666	 Y:0.169616	 vel:  0.29935	-0.251883
5.42'	 X: -0.24666	 Y:0.169616	 vel:  0.29935	-0.251883
5.44'	 X: -0.236784	 Y:0.157502	 vel:  0.284383	-0.251883
5.46'	 X: -0.236784	 Y:0.157502	 vel:  0.284383	-0.251883
5.48'	 X: -0.236784	 Y:0.157502	 vel:  0.284383	-0.251883
5.5'	 X: -0.218789	 Y:0.158492	 vel:  0.270164	-0.251883
5.52'	 X: -0.218789	 Y:0.158492	 vel:  0.270164	-0.251883
5.54'	 X: -0.218789	 Y:0.158492	 vel:  0.270164	-0.251883
5.56'	 X: -0.215035	 Y:0.140114	 vel:  0.256656	-0.251883
5.58'	 X: -0.215035	 Y:0.140114	 vel:  0.256656	-0.251883
5.6'	 X: -0.215035	 Y:0.140114	 vel:  0.256656	-0.251883
5.62'	 X: -0.20046	 Y:0.138799	 vel:  0.243823	-0.251883
5.64'	 X: -0.20046	 Y:0.138799	 vel:  0.243823	-0.251883
5.66'	 X: -0.20046	 Y:0.138799	 vel:  0.243823	-0.251883
5.68'	 X: -0.18963	 Y:0.133017	 vel:  0.231632	-0.251883
5.7'	 X: -0.18963	 Y:0.133017	 vel:  0.231632	-0.251883
5.72'	 X: -0.18963	 Y:0.133017	 vel:  0.231632	-0.251883
5.74'	 X: -0.185838	 Y:0.11784	 vel:  0.22005	-0.251883
5.76'	 X: -0.185838	 Y:0.11784	 vel:  0.22005	-0.251883
5.78'	 X: -0.185838	 Y:0.11784	 vel:  0.22005	-0.251883
5.8'	 X: -0.317511	 Y:0.0551851	 vel:  0.322271	-0.145332
5.82'	 X: -0.317511	 Y:0.0551851	 vel:  0.322271	-0.145332
5.84'	 X: -0.317511	 Y:0.0551851	 vel:  0.322271	-0.145332
5.86'	 X: -0.358024	 Y:-0.162263	 vel:  0.393078	-0.156151
5.88'	 X: -0.358024	 Y:-0.162263	 vel:  0.393078	-0.156151
5.9'	 X: -0.358024	 Y:-0.162263	 vel:  0.393078	-0.156151
5.92'	 X: -0.397147	 Y:-0.361157	 vel:  0.536806	-0.078641
5.94'	 X: -0.397147	 Y:-0.361157	 vel:  0.536806	-0.078641
5.96'	 X: -0.397147	 Y:-0.361157	 vel:  0.536806	-0.078641
5.98'	 X: -0.388564	 Y:-0.0506087	 vel:  0.391846	-0.152361
6'	 X: -0.388564	 Y:-0.0506087	 vel:  0.391846	-0.152361
6.02'	 X: -0.388564	 Y:-0.0506087	 vel:  0.391846	-0.152361
6.04'	 X: -0.444226	 Y:-0.294543	 vel:  0.533003	-0.178918
6.06'	 X: -0.444226	 Y:-0.294543	 vel:  0.533003	-0.178918
6.08'	 X: -0.444226	 Y:-0.294543	 vel:  0.533003	-0.178918
6.1'	 X: -0.437097	 Y:-0.0849969	 vel:  0.445285	-0.208697
6.12'	 X: -0.437097	 Y:-0.0849969	 vel:  0.445285	-0.208697
6.14'	 X: -0.437097	 Y:-0.0849969	 vel:  0.445285	-0.208697
6.16'	 X: -0.424662	 Y:0.0972695	 vel:  0.435659	-0.225011
6.18'	 X: -0.424662	 Y:0.0972695	 vel:  0.435659	-0.225011
6.2'	 X: -0.424662	 Y:0.0972695	 vel:  0.435659	-0.225011
6.22'	 X: -0.48032	 Y:-0.166592	 vel:  0.50839	-0.179027
6.24'	 X: -0.48032	 Y:-0.166592	 vel:  0.50839	-0.179027
6.26'	 X: -0.48032	 Y:-0.166592	 vel:  0.50839	-0.179027
6.28'	 X: -0.453646	 Y:0.0759558	 vel:  0.459961	-0.174884
6.3'	 X: -0.453646	 Y:0.0759558	 vel:  0.459961	-0.174884
6.32'	 X: -0.453646	 Y:0.0759558	 vel:  0.459961	-0.174884
6.34'	 X: -0.481709	 Y:-0.0672263	 vel:  0.486378	-0.131267
6.36'	 X: -0.481709	 Y:-0.0672263	 vel:  0.486378	-0.131267
6.38'	 X: -0.481709	 Y:-0.0672263	 vel:  0.486378	-0.131267
6.4'	 X: -0.503691	 Y:-0.190661	 vel:  0.538569	-0.0972694
6.42'	 X: -0.503691	 Y:-0.190661	 vel:  0.538569	-0.0972694
6.44'	 X: -0.503691	 Y:-0.190661	 vel:  0.538569	-0.0972694
6.46'	 X: -0.471278	 Y:0.0633225	 vel:  0.475513	-0.121156
6.48'	 X: -0.471278	 Y:0.0633225	 vel:  0.475513	-0.121156
6.5'	 X: -0.471278	 Y:0.0633225	 vel:  0.475513	-0.121156
6.52'	 X: -0.498444	 Y:-0.129548	 vel:  0.515003	-0.11636
6.54'	 X: -0.498444	 Y:-0.129548	 vel:  0.515003	-0.11636
6.56'	 X: -0.498444	 Y:-0.129548	 vel:  0.515003	-0.11636
6.58'	 X: -0.481719	 Y:0.0163035	 vel:  0.481995	-0.0816782
6.6'	 X: -0.481719	 Y:0.0163035	 vel:  0.481995	-0.0816782
6.62'	 X: -0.481719	 Y:0.0163035	 vel:  0.481995	-0.0816782
6.64'	 X: -0.457507	 Y:0.140638	 vel:  0.478635	-0.0665702
6.66'	 X: -0.457507	 Y:0.140638	 vel:  0.478635	-0.0665702
6.68'	 X: -0.457507	 Y:0.140638	 vel:  0.478635	-0.0665702
6.7'	 X: -0.505299	 Y:-0.100234	 vel:  0.515145	-0.0739315
6.72'	 X: -0.505299	 Y:-0.100234	 vel:  0.515145	-0.0739315
6.74'	 X: -0.505299	 Y:-0.100234	 vel:  0.515145	-0.0739315
6.76'	 X: -0.483794	 Y:-0.073776	 vel:  0.489387	-0.0739315
6.78'	 X: -0.483794	 Y:-0.073776	 vel:  0.489387	-0.0739315
6.8'	 X: -0.483794	 Y:-0.073776	 vel:  0.489387	-0.0739315
6.82'	 X: -0.456917	 Y:-0.0858788	 vel:  0.464918	-0.0739315
6.84'	 X: -0.456917	 Y:-0.0858788	 vel:  0.464918	-0.0739315
6.86'	 X: -0.456917	 Y:-0.0858788	 vel:  0.464918	-0.0739315
